age	 lit_no	 whole width	 left side range	 whole integral	 left side integral	 max loc	 max alpha	 min alpha	 file name 
16.50	 7	 2.545423	 0.809136	 4.354635	 1.504038	 2.231367	 3.967654	 1.422230	 2020_01_10_E16,5_WT4_left-1.tif_res.mat
16.50	 7	 2.718232	 0.738716	 4.156040	 1.373892	 2.112486	 4.092002	 1.373771	 2020_01_10_E16,5_WT4_right-1.tif_res.mat
17.50	 1	 2.367836	 0.379386	 3.665347	 0.546868	 2.242722	 4.231172	 1.863336	 2019_04_01_WT2_S01_E17,5-1_Left.tif_res.mat
17.50	 1	 2.880337	 0.398040	 4.323592	 0.754555	 2.231771	 4.714069	 1.833732	 2019_04_01_WT2_S01_E17,5-1_Right.tif_res.mat
17.50	 2	 2.990705	 0.240880	 3.365862	 0.474504	 2.081400	 4.831225	 1.840520	 2019_04_10_WT1_E17,5_left-1.tif_res.mat
17.50	 2	 2.764158	 0.228442	 3.094785	 0.411580	 2.166135	 4.701851	 1.937693	 2019_04_10_WT2_E17,5_left-1.tif_res.mat
17.50	 2	 2.622090	 0.296267	 3.678353	 0.548328	 2.290167	 4.615990	 1.993900	 2019_04_10_WT2_E17,5_right-1.tif_res.mat
17.50	 2	 2.494184	 0.505253	 4.030485	 0.909460	 2.170141	 4.159072	 1.664888	 2019_04_10_WT3_E17,5_left-1.tif_res.mat
17.50	 2	 2.094882	 0.549842	 3.675248	 1.023557	 2.205338	 3.750377	 1.655496	 2019_04_10_WT3_E17,5_right-1.tif_res.mat
17.50	 2	 2.322852	 0.520171	 3.912951	 0.957499	 2.230683	 4.033364	 1.710512	 2019_04_10_WT4_E17,5_left-1.tif_res.mat
17.50	 2	 2.428917	 0.493860	 3.975274	 0.840314	 2.272340	 4.207397	 1.778480	 2019_04_10_WT4_E17,5_right-1.tif_res.mat
17.50	 2	 2.546171	 0.321873	 3.623235	 0.362587	 2.212661	 4.436959	 1.890788	 2019_04_10_WT5_E17,5_left-1.tif_res.mat
17.50	 2	 2.620519	 0.421308	 3.981377	 0.677532	 2.263001	 4.462213	 1.841693	 2019_04_10_WT5_E17,5_right-1.tif_res.mat
